,Movie Name,Release Date,Director,Writers,Rating,Run Time,Characters
0,thor,"May 6, 2011",Kenneth Branagh,"Ashley Miller, Zack Stentz, Don Payne",PG-13,115 min,"Thor, Odin, Heimdall, Loki, Doctor Erik Selvig, Hawkeye"
1,iron-man-2,"May 7, 2010",Jon Favreau,Justin Theroux,PG-13,124 min,"Iron Man, War Machine, Black Widow"
2,the-incredible-hulk,"June 13, 2008",Louis Leterrier,Zak Penn,PG-13,112 min,"Hulk, Abomination"
3,iron-man,"May 2, 2008",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway",PG-13,126 min,"Iron Man, War Machine"
4,the-marvels,"November 10, 2023",Nia DaCosta,,,,"Captain Marvel, Monica Rambeau, Ms. Marvel, Nick Fury, Goose the Cat, Prince Yan"
5,guardians-of-the-galaxy-volume-3,"May 5, 2023",James Gunn,,,,"Star-Lord, Rocket, Groot, Drax, Mantis, Nebula, Kraglin, Cosmo, Gamora"
6,ant-man-and-the-wasp-quantumania,"February 17, 2023",Peyton Reed,,,,"Ant-Man, The Wasp, Janet Van Dyne, Hank Pym, Cassie Lang, Kang the Conqueror, Krylar, Quaz, Jentorra"
7,black-panther-wakanda-forever,"November 11, 2022",Ryan Coogler,,,,"Queen Ramonda, Shuri, M'Baku, Okoye, Black Panther, Nakia, Riri Williams, Namor, Namora, Attuma, Ayo, Aneka, Everett Ross"
8,thor-love-and-thunder,"July 8, 2022",Taika Waititi,,,,"Thor, The Mighty Thor, Valkyrie, Korg, Gorr, The Goats, Zeus"
9,doctor-strange-in-the-multiverse-of-madness,"May 6, 2022",Sam Raimi,,,,"Doctor Strange, Wong, Wanda Maximoff, America Chavez, Baron Mordo, Christine Palmer"
10,spider-man-no-way-home,"December 17, 2021",Jon Watts,,,,"Spider-Man, Doctor Strange, Electro, Green Goblin, Doctor Octopus, Wong"
11,eternals,"November 5, 2021",Chloé Zhao,,,,"Ajak, Druig, Gilgamesh, Ikaris, Kingo, Makkari, Phastos, Sersi, Sprite, Thena"
12,shang-chi-and-the-legend-of-the-ten-rings,"September 3, 2021",Destin Daniel Cretton,,,,"Shang-Chi, Katy, Ying Nan, Wenwu, Xialing, Death Dealer"
13,black-widow,"July 9, 2021",Cate Shortland,,,,"Black Widow, Yelena, Melina, Red Guardian, Taskmaster, Rick Mason"
14,spider-man-far-from-home,"July 2, 2019",Jon Watts,Chris McKenna & Erik Sommers,,,"Spider-Man, Nick Fury"
15,avengers-endgame,"April 26, 2019",,,,,"Iron Man, Captain America, Hulk, Thor, Black Widow, Hawkeye, War Machine, Ant-Man, Captain Marvel, Nebula, Okoye, Wong, Rocket, Thanos, Doctor Strange, Black Panther, Spider-Man, Gamora, Wanda Maximoff, Falcon, Winter Soldier, Mantis, Drax, Shuri, Ebony Maw, Star-Lord, Groot, Nick Fury, Corvus Glaive, Cull Obsidian, Proxima Midnight"
16,captain-marvel,"March 8, 2019","Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck, Geneva Robertson-Dworet",PG-13,125 min,"Captain Marvel, Nick Fury, Yon-Rogg, Maria Rambeau, Goose the Cat, Talos, Minn-Erva, Phil Coulson, Bron-Char, Att-Lass, Korath, Ronan"
17,ant-man-and-the-wasp,"July 6, 2018",Peyton Reed,"Chris McKenna, Erik Sommers, Andrew Barrer, Gabriel Ferrari, Paul Rudd",PG-13,,"Ant-Man, The Wasp, Ghost"
18,avengers-infinity-war,"April 27, 2018","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",PG-13,149 min,"Hulk, Winter Soldier, Corvus Glaive, Doctor Strange, Drax, Ebony Maw, Gamora, Groot, Heimdall, War Machine, Loki, Mantis, Black Widow, Nebula, Okoye, Spider-Man, Star-Lord, Proxima Midnight, Rocket, Captain America, Shuri, Captain America, Black Panther, Thanos, The Collector, Thor, Iron Man, Vision, Wanda Maximoff, Wong"
19,black-panther,"February 16, 2018",Ryan Coogler,"Ryan Coogler, Joe Robert Cole",PG-13,134 min,"Black Panther, Erik Killmonger, Nakia, Okoye, Shuri, Ulysses Klaue, Winter Soldier"
20,thor-ragnarok,"November 3, 2017",Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost",,130 min,"Thor, Hulk, Valkyrie, Hela, Loki, Skurge, Grandmaster, Heimdall, Odin, Doctor Strange"
21,spider-man-homecoming,"July 7, 2017",Jon Watts,"Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers",PG-13,133 min,"Spider-Man, Iron Man, Vulture, Shocker, Captain America"
22,guardians-of-the-galaxy-vol-2,"May 5, 2017",James Gunn,James Gunn,PG-13,136 min,"Star-Lord, Gamora, Rocket, Groot, Drax, Yondu, Mantis, Nebula, Ego"
23,doctor-strange,"November 4, 2016",Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill",PG-13,115 min,"Doctor Strange, Wong, Christine Palmer, Dormammu, Thor"
24,captain-america-civil-war,"May 6, 2016","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",PG-13,147 min,"Captain America, Iron Man, Winter Soldier, Hawkeye, War Machine, Black Widow, Spider-Man, Captain America, Black Panther, Vision, Wanda Maximoff"
25,ant-man,"July 17, 2015",Peyton Reed,"Edgar Wright, Joe Cornish, Adam McKay, Paul Rudd",PG-13,117 min,"Ant-Man, The Wasp, Yellowjacket, Falcon"
26,avengers-age-of-ultron,"May 1, 2015",Joss Whedon,Joss Whedon,PG-13,141 min,"Iron Man, Thor, Hulk, Captain America, Black Widow, Ultron, Hawkeye, War Machine, Captain America, Wanda Maximoff, Doctor Erik Selvig, Heimdall, Ulysses Klaue, Thanos"
27,guardians-of-the-galaxy,"August 1, 2014",James Gunn,"James Gunn, Nicole Perlman",PG-13,121 min,"Star-Lord, Gamora, Rocket, Groot, Drax, Yondu, Nebula, The Collector"
28,captain-america-the-winter-soldier,"April 4, 2014","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",PG-13,136 min,"Captain America, Winter Soldier, Black Widow, Captain America, Wanda Maximoff"
29,thor-the-dark-world,"November 8, 2013",Alan Taylor,"Christopher L. Yost, Christopher Markus, Stephen McFeely",PG-13,112 min,"Thor, Heimdall, Loki, Odin, The Collector, Doctor Erik Selvig"
30,iron-man-3,"May 3, 2013",Shane Black,"Drew Pearce, Shane Black",PG-13,130 min,"Iron Man, War Machine, Hulk"
31,the-avengers,"May 4, 2012",Joss Whedon,Joss Whedon,PG-13,143 min,"Iron Man, Captain America, Hulk, Hawkeye, Thor, Black Widow, Loki, Doctor Erik Selvig, Thanos"
32,captain-america-the-first-avenger,"July 22, 2011",Joe Johnston,"Christopher Markus, Stephen McFeely",PG-13,124 min,"Captain America, Winter Soldier"
